epoch,train_loss,test_loss,test_mae,test_rmse,test_r2_mean,mae_H0,mae_H1,mae_H2
1,15.573274,2.7191171646118164,1.1263110637664795,1.6489745797348776,-387.4923400878906,0.5765908360481262,0.609020471572876,2.193319797515869
2,2.6175537,2.3469603061676025,1.0132638216018677,1.5319792120546554,-203.69371032714844,0.40652814507484436,0.40668153762817383,2.226581335067749
3,2.4501178,2.32157826423645,0.9983655214309692,1.5236726237077471,-152.21287536621094,0.37089455127716064,0.3363814651966095,2.2878193855285645
4,2.3558073,2.261441707611084,0.9847857356071472,1.5038090662085675,-105.56998443603516,0.28746411204338074,0.40756016969680786,2.259333372116089
5,2.2893329,2.4963507652282715,1.020019769668579,1.579984419299213,-116.09624481201172,0.3389175534248352,0.3111457824707031,2.4099929332733154
6,2.3089652,2.2964210510253906,0.8882997035980225,1.5153946849007327,-62.9761962890625,0.2259434461593628,0.332111120223999,2.1068460941314697
7,2.352898,2.3654401302337646,0.979279637336731,1.5379987419480436,-75.208984375,0.2652234137058258,0.3218380808830261,2.350778818130493
8,2.4306402,2.104558229446411,0.8648562431335449,1.4507095606793288,-40.800193786621094,0.1842677742242813,0.25814390182495117,2.1521553993225098
9,2.484675,2.292308807373047,0.9456230998039246,1.5140372542883636,-152.77239990234375,0.4348411560058594,0.28670546412467957,2.115320920944214
10,2.5042882,2.140613317489624,0.8828416466712952,1.4630834964176256,-65.50379943847656,0.25506821274757385,0.25762078166007996,2.1358351707458496
11,2.60379,2.477529525756836,0.9593352675437927,1.5740170030075393,-55.3428955078125,0.22317448258399963,0.22714127600193024,2.4276914596557617
12,2.7236376,4.1799821853637695,1.694008469581604,2.0445004733097445,-1586.7122802734375,1.5530338287353516,1.349751591682434,2.1792380809783936
13,2.7179677,2.415893077850342,1.1898761987686157,1.554314343320019,-498.6226806640625,0.858468770980835,0.5566195249557495,2.1545393466949463
14,2.5875006,2.510197639465332,0.9674280285835266,1.5843603250098546,-144.28160095214844,0.43643173575401306,0.35544446110725403,2.110408306121826
15,2.6005125,2.218914031982422,1.0261383056640625,1.4896019709917216,-114.60462188720703,0.3701811730861664,0.4835631549358368,2.2246713638305664
16,2.5029213,2.2648422718048096,0.8846566677093506,1.504939291733992,-27.987260818481445,0.14908531308174133,0.3974674940109253,2.107417583465576
17,2.5856192,2.228905439376831,1.0396677255630493,1.4929519213212565,-378.3507995605469,0.7467276453971863,0.23431260883808136,2.13796329498291
18,2.4760675,2.1232590675354004,0.9119717478752136,1.4571407164496504,-33.990943908691406,0.17443063855171204,0.39864394068717957,2.1628403663635254
19,2.463249,2.389667510986328,0.970991849899292,1.5458549450017385,-28.344375610351562,0.14376232028007507,0.41415515542030334,2.355057954788208
20,2.554635,2.8727681636810303,1.0604162216186523,1.694924235380753,-354.2184753417969,0.7224187850952148,0.29838889837265015,2.1604416370391846
21,2.474218,2.1465179920196533,0.8617372512817383,1.4650999938637816,-29.781980514526367,0.1543736606836319,0.3222109079360962,2.1086268424987793
22,2.4620507,2.5847277641296387,1.0725985765457153,1.6077088555237975,-114.2190933227539,0.371905654668808,0.7577540278434753,2.088134288787842
23,2.3514628,2.0920331478118896,0.8902823328971863,1.4463862374248069,-61.037654876708984,0.2595917880535126,0.31092333793640137,2.100332021713257
24,2.3512733,2.62294340133667,0.9809156060218811,1.619550370114085,-27.92669677734375,0.14913587272167206,0.32679247856140137,2.4668166637420654
25,2.3461657,2.2448651790618896,1.074598789215088,1.4982874153719272,-400.2247009277344,0.7573067545890808,0.3000357151031494,2.1664540767669678
26,2.4110198,2.081465482711792,0.8888070583343506,1.442728485444088,-62.98562240600586,0.2645730972290039,0.2943846881389618,2.107463836669922
27,2.3235326,2.125168561935425,0.9550504088401794,1.4577957888316952,-111.57611846923828,0.38657528162002563,0.2694303095340729,2.2091457843780518
28,2.306382,2.2412991523742676,0.8957012891769409,1.497096908143981,-23.029138565063477,0.12778861820697784,0.4907311201095581,2.0685856342315674
29,2.3330805,2.0622141361236572,0.848995566368103,1.436041133158677,-66.08377075195312,0.2629493474960327,0.20073671638965607,2.0833017826080322
30,2.2974722,2.320592164993286,0.9401699304580688,1.5233489964526468,-187.93975830078125,0.4953994154930115,0.2689705193042755,2.0561435222625732
31,2.2735538,2.0896222591400146,0.8370914459228516,1.4455525791682622,-39.07162857055664,0.18605682253837585,0.21211126446723938,2.1131033897399902
32,2.2628279,2.4342305660247803,1.0276466608047485,1.5602020914050783,-207.1367950439453,0.5406733751296997,0.492922842502594,2.049345016479492
33,2.297712,2.1645069122314453,1.050175666809082,1.4712263293699734,-287.3896179199219,0.6403241157531738,0.385944664478302,2.124258518218994
34,2.2166152,2.1032047271728516,0.8703168034553528,1.4502429890100663,-73.32475280761719,0.26877403259277344,0.23763877153396606,2.104537010192871
35,2.190285,2.1172966957092285,0.8973017334938049,1.4550933632276757,-113.12555694580078,0.3850423991680145,0.21039533615112305,2.0964667797088623
36,2.1720667,3.0505425930023193,1.1786856651306152,1.746580256673686,-64.40331268310547,0.24590334296226501,0.7146410346031189,2.5755109786987305
37,2.1822186,2.062049150466919,0.8502997159957886,1.435983687395828,-54.60737228393555,0.2574169933795929,0.2288796305656433,2.064603090286255
38,2.1500533,2.1732921600341797,0.926987886428833,1.4742089946931471,-100.7983627319336,0.35876742005348206,0.3262428641319275,2.0959532260894775
39,2.125478,2.043149471282959,0.8181672096252441,1.4293877959752417,-14.16779613494873,0.1094534695148468,0.266912043094635,2.078138828277588
40,2.1331074,2.027308225631714,0.819710373878479,1.4238357439085851,-24.640647888183594,0.12454231083393097,0.1942702680826187,2.1403162479400635
41,2.11141,2.0122807025909424,0.813979983329773,1.4185488016247247,-22.37497901916504,0.13562873005867004,0.20173139870166779,2.104579448699951
42,2.0949051,2.0663278102874756,0.9456973671913147,1.43747271636281,-188.6432647705078,0.5224847793579102,0.22319483757019043,2.091413736343384
43,2.0670412,2.2495999336242676,0.794386625289917,1.4998666386130026,-17.704370498657227,0.13279730081558228,0.1910361349582672,2.059329032897949
44,2.064702,2.1851439476013184,0.8488460779190063,1.478223240110004,-56.82856369018555,0.27229243516921997,0.2515881061553955,2.022657632827759
45,2.0800102,2.1637775897979736,0.8223472833633423,1.4709784464083673,-41.738853454589844,0.21900106966495514,0.20241664350032806,2.0456247329711914
46,2.0646145,1.9916383028030396,0.82761150598526,1.4112541595343624,-24.71150016784668,0.17088104784488678,0.19093383848667145,2.121021032333374
